champion_name,role,total_matches,wins,win_rate
Zed,JUNGLE,31,11,35.483870967741936
Zed,MIDDLE,124,65,52.41935483870967
Zed,TOP,2,1,50.0
Zeri,BOTTOM,64,34,53.125
Zeri,MIDDLE,2,1,50.0
Zeri,TOP,7,5,71.42857142857143
Ziggs,BOTTOM,134,62,46.26865671641791
Ziggs,MIDDLE,27,16,59.25925925925925
Ziggs,TOP,2,1,50.0
Ziggs,UTILITY,1,0,0.0
Zilean,MIDDLE,6,2,33.33333333333333
Zilean,TOP,44,28,63.63636363636363
Zilean,UTILITY,30,12,40.0
Zoe,BOTTOM,6,3,50.0
Zoe,MIDDLE,78,37,47.43589743589743
Zoe,TOP,1,0,0.0
Zoe,UTILITY,69,33,47.82608695652174
Zyra,BOTTOM,10,8,80.0
Zyra,JUNGLE,68,30,44.11764705882353
Zyra,MIDDLE,1,1,100.0
Zyra,UTILITY,25,10,40.0
